✅ or ❌,page,initials,date
,urn:cite2:hmt:msA.v1:266v,,
,urn:cite2:hmt:msA.v1:267r,,
,urn:cite2:hmt:msA.v1:267v,,
,urn:cite2:hmt:msA.v1:268r,,
,urn:cite2:hmt:msA.v1:268v,,
,urn:cite2:hmt:msA.v1:269r,,
,urn:cite2:hmt:msA.v1:269v,,
✅,urn:cite2:hmt:msA.v1:270r,NS,3/25/2022
✅,urn:cite2:hmt:msA.v1:270v,NS,3/25/2022
,urn:cite2:hmt:msA.v1:271r,,
,urn:cite2:hmt:msA.v1:271v,,
❌,urn:cite2:hmt:msA.v1:272r,NS,3/25/2022
❌,urn:cite2:hmt:msA.v1:272v,NS,3/25/2022
❌,urn:cite2:hmt:msA.v1:273r,NS,3/25/2022
❌,urn:cite2:hmt:msA.v1:273v,NS,3/25/2022
❌,urn:cite2:hmt:msA.v1:274r,NS,3/25/2022
❌,urn:cite2:hmt:msA.v1:274v,NS,3/25/2022
❌,urn:cite2:hmt:msA.v1:275r,NS,3/25/2022
❌,urn:cite2:hmt:msA.v1:275v,NS,3/25/2022
❌,urn:cite2:hmt:msA.v1:276r,NS,3/25/2022
❌,urn:cite2:hmt:msA.v1:276v,NS,3/25/2022
❌,urn:cite2:hmt:msA.v1:277r,NS,3/25/2022
❌,urn:cite2:hmt:msA.v1:277v,NS,3/25/2022
❌,urn:cite2:hmt:msA.v1:278r,NS,3/25/2022
❌,urn:cite2:hmt:msA.v1:278v,NS,3/25/2022
❌,urn:cite2:hmt:msA.v1:279r,NS,3/25/2022
❌,urn:cite2:hmt:msA.v1:279v,NS,3/25/2022
❌,urn:cite2:hmt:msA.v1:280r,NS,3/25/2022
❌,urn:cite2:hmt:msA.v1:280v,NS,3/25/2022
❌,urn:cite2:hmt:msA.v1:281r,NS,3/25/2022
❌,urn:cite2:hmt:msA.v1:281v,NS,3/25/2022
,urn:cite2:hmt:msA.v1:282r,,
,urn:cite2:hmt:msA.v1:282v,,
,urn:cite2:hmt:msA.v1:283r,,
,urn:cite2:hmt:msA.v1:283v,,
,urn:cite2:hmt:msA.v1:284r,,
,urn:cite2:hmt:msA.v1:284v,,
,urn:cite2:hmt:msA.v1:285r,,
,urn:cite2:hmt:msA.v1:285v,,
,urn:cite2:hmt:msA.v1:286r,,
,urn:cite2:hmt:msA.v1:286v,,
,urn:cite2:hmt:msA.v1:287r,,
,urn:cite2:hmt:msA.v1:287v,,
,urn:cite2:hmt:msA.v1:288r,,
,urn:cite2:hmt:msA.v1:288v,,
,urn:cite2:hmt:msA.v1:289r,,
,urn:cite2:hmt:msA.v1:289v,,
,urn:cite2:hmt:msA.v1:290r,,
,urn:cite2:hmt:msA.v1:290v,,
,urn:cite2:hmt:msA.v1:291r,,
,urn:cite2:hmt:msA.v1:291v,,
,urn:cite2:hmt:msA.v1:292r,,
,urn:cite2:hmt:msA.v1:292v,,
,urn:cite2:hmt:msA.v1:293r,,
